Sserial,Rsex,RAgeCat,Married,ChildHh,HEdQual3,eq_inc_quintiles,RClassGp,CCBELIEV,carallow,carreduc,carnod2,cartaxhi,carenvdc,plnenvt,plnuppri,Politics,Voted,actchar,actpol,govnosa2,PartyId2,leftrigh,libauth,WtFactor
290001,1,3,1,1,3,3,4,2,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,2,2,1,4.5,.938058705161193
290002,2,7,2,2,2,-1,5,3,-1,-1,-1,-1,-1,-1,-1,1,1,8,8,4,2,1.8,4.33333333333333,.684421357355822
290003,2,4,1,1,1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,-1,-1,.906082138488022
290004,2,4,1,1,1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,4,4,2,2,1.5,2.5,1.30855128432915
290005,1,7,4,2,2,4,1,8,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,3,2,3.16666666666667,.439282252469403
290006,2,2,4,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,8,8,3,8,3,3,.569572007526812
290007,1,7,2,2,4,-1,5,3,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,3,2.2,4.5,.58342035116692
290008,2,5,2,2,3,1,5,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,6,2,2.5,.579136448094616
290009,2,7,3,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,-1,-1,-1,1,-1,-1,.590081939220273
290010,1,5,4,2,4,-1,5,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,1.2,4.66666666666667,.486862067316908
290011,2,1,4,2,2,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,3,1,2,2,3,5,4,3.16666666666667,2.47648952258369
290012,2,1,4,2,2,-1,1,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,2,-1,-1,2.24026627210551
290013,2,7,3,2,3,5,2,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,2,2.33333333333333,.505659149663177
290014,1,6,1,1,2,-1,1,3,5,1,1,5,2,4,2,1,-1,-1,-1,-1,4,2,3,1.37011791155126
290015,2,7,1,1,3,4,5,-1,-1,-1,-1,-1,-1,-1,-1,3,1,4,5,4,2,2,4.66666666666667,1.9396054991902
290016,2,2,1,1,3,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,5,2,5,5,8,5,3.2,4,1.13400740147328
290017,1,4,1,2,2,3,4,2,-1,-1,-1,-1,-1,-1,-1,3,2,-1,-1,-1,2,-1,-1,1.34024843742296
290018,2,7,3,2,3,4,-1,3,-1,-1,-1,-1,-1,-1,-1,3,1,2,5,2,1,3.6,4,.528963062393336
290019,2,3,4,1,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,1,4,1.2,5,.565041344580629
290020,2,1,4,1,3,-1,5,2,-1,-1,-1,-1,-1,-1,-1,3,2,-1,-1,-1,2,-1,-1,.869749861541868
290021,1,6,1,2,1,-1,1,3,2,2,4,4,2,4,4,1,-1,-1,-1,-1,2,2.4,3,.690509106831348
290022,2,7,3,2,4,5,5,3,-1,-1,-1,-1,-1,-1,-1,3,2,5,5,4,8,2.8,3.33333333333333,.655750398024175
290023,1,7,1,2,4,-1,3,1,2,8,2,4,8,3,8,3,-1,-1,-1,-1,1,3.2,3.33333333333333,1.23353372918103
290024,2,4,4,2,1,-1,1,3,4,3,3,2,5,4,2,2,-1,-1,-1,-1,1,1.8,3.5,.547844564627471
290025,1,5,1,1,3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,-1,-1,1.19344658561842
290026,2,1,4,2,1,-1,5,3,3,2,4,8,2,4,3,2,-1,-1,-1,-1,5,2.6,3.66666666666667,2.45709229298693
290027,2,3,1,2,3,-1,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,2,5,3,2,3,2.83333333333333,1.69254261130461
290028,1,3,4,2,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,1,2,4,5,1,2,2,3.5,.959535403196531
290029,1,7,1,2,4,-1,1,3,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,1,-1,-1,.782701737277681
290030,2,2,1,2,1,-1,2,3,3,2,3,3,2,4,3,5,-1,-1,-1,-1,2,3,3.33333333333333,1.02300437958745
290031,2,4,2,1,2,2,1,3,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,5,2.8,4.5,.44204837726446
290032,2,5,1,1,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,4,4,3,4,2,3.33333333333333,1.90604693012711
290033,2,2,1,1,3,1,4,-1,-1,-1,-1,-1,-1,-1,-1,5,2,5,5,2,5,2.6,3.5,.931201736524101
290034,1,4,1,1,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,5,4,4,3,2,2.33333333333333,1.51871254464081
290035,1,2,4,2,1,2,2,3,-1,-1,-1,-1,-1,-1,-1,4,2,3,5,3,2,3,3,1.26964988811911
290036,2,1,1,1,2,-1,5,2,2,3,2,3,2,2,3,5,-1,-1,-1,-1,5,3,3,1.44367355566231
290037,2,5,1,2,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,2,2,2,5,2,2,2.4,2.5,1.11106445920773
290038,1,3,1,1,1,4,1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,5,5,2,5,2,3.66666666666667,.974393999866858
290039,2,2,4,2,2,-1,2,3,2,4,2,5,4,3,4,4,-1,-1,-1,-1,8,2.2,3.33333333333333,.50808086298171
290040,2,4,1,2,4,-1,3,2,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,8,-1,-1,.904996286713124
290041,1,7,4,2,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,5,5,4,2,2.2,2,.562515866761979
290042,2,7,1,1,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,4,4,5,6,1.8,3,1.48266904406635
290043,1,4,4,2,1,-1,1,3,3,1,5,1,1,5,1,1,-1,-1,-1,-1,6,2.6,2.83333333333333,.435089153007006
290044,2,6,4,2,4,-1,4,3,1,2,4,2,3,4,1,2,-1,-1,-1,-1,2,2.4,3.6,.48022338328446
