Sserial	WtFactor	RSex	RAgeCat	eq_inc_quintiles	RClassGp	HEdQual3	Married	ChildHh	skipmeal	paptype	SMNews	PartyId2	Politics	SocTrust	Spend1	Dole	TaxSpend	MuchPov	Poverty1	Poverty2	NatFrEst	incdiffs	welfare2	leftrigh	libauth
310001	.911959441900782	2	6	-1	1	2	1	2	-1	0	8	8	4	1	3	3	3	8	2	1	5	-1	2.5	2.4	3.5
310002	.443962578928714	2	3	5	1	2	2	2	1	0	1	8	3	-1	-1	2	3	2	2	2	30	2	3.125	2	3.83333333333333
310003	1.21827411046767	2	4	-1	1	3	1	1	-1	0	2	4	4	2	3	2	2	2	2	2	50	-1	3.125	2.2	4.16666666666667
310004	1.58399694170687	1	2	4	1	2	4	2	-1	0	2	2	3	1	3	3	3	2	2	1	50	-1	2.25	3.2	2.16666666666667
310005	.474309101936413	1	6	-1	5	4	4	2	1	0	8	3	5	-1	-1	2	3	1	2	1	50	4	3.375	1.6	4.66666666666667
310006	1.13631253367843	1	4	1	3	8	1	1	-1	0	3	2	3	2	9	2	2	1	1	1	10	-1	2.875	1.8	3.66666666666667
310007	.825977822431059	1	2	5	1	1	4	2	1	0	1	2	1	-1	-1	1	3	2	1	1	1	2	2	2.4	2.33333333333333
310008	.960651817173109	2	4	-1	1	3	1	1	1	2	4	8	1	-1	-1	8	3	2	1	1	998	1	2.75	2	2.66666666666667
310009	1.37918793363223	1	4	-1	1	1	1	1	1	4	8	3	1	-1	-1	2	3	2	1	1	5	1	1.25	1.8	2.33333333333333
310010	1.37556993848394	1	1	-1	5	2	4	2	-1	0	8	8	5	2	3	2	2	8	8	8	50	-1	9	2.8	4
310011	.886646393300762	1	7	-1	3	4	1	2	1	1	8	1	1	-1	-1	3	3	1	2	2	60	3	2.625	3.4	3.83333333333333
310012	1.75874565000542	2	1	2	5	2	4	2	2	0	7	5	4	-1	-1	1	3	2	2	1	25	2	1.75	2.2	2.5
310013	1.01362734294215	2	7	-1	5	4	4	1	-1	1	8	2	3	1	8	3	2	1	1	1	30	-1	9	9	9
310014	1.23082961298577	1	3	5	1	1	1	2	1	0	8	5	3	-1	-1	1	3	2	1	1	3	3	2.25	2.8	2.33333333333333
310015	.729703353495682	2	3	2	3	2	1	1	1	0	3	3	3	-1	-1	2	3	2	2	2	25	2	2.875	3	3.33333333333333
310016	1.31171601393026	2	7	4	2	2	1	2	1	1	8	8	2	-1	-1	3	2	2	1	1	10	2	3	3	3.66666666666667
310017	.473463813224028	2	7	-1	1	3	3	2	1	1	1	2	3	-1	-1	2	3	1	8	1	80	1	4.125	1.8	4.5
310018	.649061456784448	2	3	5	1	2	4	1	1	0	8	4	2	-1	-1	2	3	1	2	2	5	2	2.75	1.8	2.66666666666667
310019	1.13472956036643	2	6	1	5	2	3	1	1	0	8	3	3	-1	-1	1	2	2	2	1	50	1	2.5	2.8	4.5
310020	.827562217279301	2	3	1	1	3	1	1	-1	0	2	5	3	1	4	2	2	2	2	2	50	-1	3.375	4.4	4
310021	.751334437816618	1	7	-1	5	4	1	2	-1	0	8	1	1	-1	-1	8	2	2	2	1	40	-1	-1	-1	-1
310022	.493283922181269	2	7	1	5	4	2	2	-1	0	5	2	3	2	3	1	3	2	2	2	45	-1	2.625	2.6	3.33333333333333
310023	1.2699554820051	2	2	4	1	1	1	2	1	0	4	2	1	-1	-1	3	3	2	9	1	2	1	2.25	1	2.16666666666667
310024	.970377041037582	1	6	3	5	2	1	2	1	0	8	8	4	-1	-1	2	3	1	2	2	82	2	3.125	3.6	3.33333333333333
310025	.473479697346361	1	6	1	5	4	4	2	5	1	8	1	3	-1	-1	1	3	2	1	1	60	1	1.42857142857143	1	5
310026	.937639246850694	2	4	-1	3	1	1	2	-1	2	8	8	3	1	3	3	3	8	2	1	40	-1	3	3.2	3.66666666666667
310027	1.06462668611404	2	5	3	5	4	2	1	8	0	6	2	4	-1	-1	1	3	2	2	2	10	2	2.75	2.2	3.5
310028	.46245627096229	2	3	2	1	1	2	1	1	0	1	2	3	-1	-1	1	2	2	2	2	10	2	2.5	2	3.66666666666667
310029	1.11920774435715	2	7	4	1	4	1	2	1	0	8	4	4	-1	-1	1	3	2	2	2	40	3	2.5	2.2	3.5
310030	.799973412771064	1	7	2	1	3	1	2	-1	0	8	8	1	2	3	2	2	1	2	1	15	-1	3.5	3.2	4.66666666666667
310031	.44674332013467	2	4	1	3	3	4	2	4	0	8	5	4	-1	-1	1	1	2	2	1	30	1	2.5	2.4	4
310032	.87946639917085	2	4	3	2	1	1	1	1	0	8	2	2	-1	-1	8	3	2	1	1	30	1	1.75	2.8	2.5
310033	.439652202922713	2	4	3	3	3	2	2	-1	0	5	6	3	1	9	2	2	2	2	2	2	-1	3	3.2	4
310034	.592949156787285	2	7	-1	1	3	2	2	1	0	8	8	4	-1	-1	1	3	2	1	1	10	2	2.125	3.2	3
310035	.368952685188076	1	7	-1	1	2	2	2	1	0	8	2	3	-1	-1	1	3	2	1	1	75	8	2	2.4	4.16666666666667
310036	.95664432109509	1	7	4	1	2	1	2	1	1	8	1	1	-1	-1	2	3	1	2	2	99	2	3.625	2.2	4.83333333333333
310037	.877218332316349	2	5	2	3	3	2	2	-1	0	8	5	5	2	3	2	2	2	2	2	70	-1	3.625	2.2	3.66666666666667
310038	1.25976479773095	2	4	2	1	1	1	2	-1	0	4	5	3	-1	-1	1	3	2	2	2	50	-1	-1	-1	-1
310039	.430867850631277	1	7	-1	1	3	3	2	1	1	8	4	3	-1	-1	3	3	2	2	2	10	2	3.375	2.4	3.83333333333333
310040	1.15959358893242	2	2	3	5	3	1	1	4	0	8	2	4	-1	-1	1	3	2	2	1	30	1	1.625	2	3.5
310041	4.44004063064549	1	2	5	1	1	4	2	1	0	2	2	2	-1	-1	1	3	2	1	1	1	1	1.375	1.4	1.5
310042	2.18253230327546	1	1	-1	5	2	4	2	-1	0	3	1	3	1	1	8	2	2	1	2	10	-1	2.625	2.6	3
310043	1.39490987722171	2	2	4	5	2	1	1	1	0	1	2	5	-1	-1	1	2	2	1	1	85	1	2.625	2	4
310044	.912376013824993	1	6	-1	4	2	1	2	1	1	8	1	3	-1	-1	2	3	2	2	2	45	2	3.25	2.4	4.33333333333333
310045	.4494719898501	2	5	-1	3	2	2	2	-1	0	8	3	3	2	9	2	2	2	2	2	70	-1	3	3	3.16666666666667
310046	.818578046437275	1	7	-1	1	2	1	2	1	1	8	1	1	-1	-1	2	3	1	2	2	25	2	2.5	2.6	4.33333333333333
310047	1.20642888162214	2	1	-1	2	2	1	1	4	0	4	5	4	-1	-1	1	3	2	2	1	40	2	2.625	2.2	4.33333333333333
310048	.978990129115073	2	4	1	5	3	1	2	-1	0	2	2	4	1	3	1	2	2	2	2	30	-1	2.625	2.8	4.5
310049	.481587985543883	2	3	2	2	8	2	1	1	0	8	8	3	-1	-1	3	3	2	2	1	10	2	2.375	2.4	4.66666666666667
310050	.942768705857527	1	4	4	1	3	1	1	-1	0	5	1	3	1	3	2	3	2	2	2	25	-1	-1	-1	-1
310051	.3961715194384	2	4	5	1	2	2	2	1	0	8	1	2	-1	-1	2	3	2	1	1	30	3	3.75	3.8	4.16666666666667
310052	.857354402959367	1	6	2	1	2	1	2	-1	0	2	2	2	-1	-1	1	3	2	1	1	5	-1	-1	-1	-1
310053	.750512295422574	1	3	-1	-1	1	4	2	-1	0	1	5	4	2	7	3	4	1	1	1	50	-1	3	2.4	3
310054	1.13092985580313	2	7	1	1	4	1	2	1	1	8	4	4	-1	-1	2	2	1	2	2	40	2	2.625	2.8	3.5
310055	.427375568731332	1	5	3	2	1	4	2	1	0	8	3	3	-1	-1	1	3	2	1	1	20	1	2.75	2.4	3.66666666666667
310056	.637248428825041	1	7	1	5	8	4	2	-1	1	8	2	4	2	4	1	2	2	1	1	15	-1	-1	-1	-1
310057	1.09244627394053	2	2	5	5	3	1	2	-1	0	1	5	5	2	3	3	2	2	2	2	90	-1	3.125	2.6	3.66666666666667
310058	1.16135307996186	2	3	-1	5	4	1	1	1	0	8	5	4	-1	-1	1	3	2	2	1	5	8	1.625	1.8	3.83333333333333
310059	1.66745199683092	1	3	3	5	1	1	1	1	0	1	5	4	-1	-1	2	3	1	2	1	50	2	4.125	1.8	4.33333333333333
